Date,Close,Return,Direction,finbert_neg,finbert_neu,finbert_pos,finbert_compound,n_posts,finbert_compound_lag_1,finbert_compound_lag_2,finbert_compound_lag_3,finbert_compound_rolling_3,finbert_compound_rolling_7,n_posts_log,return_lag_1,return_lag_2,return_lag_3,return_rolling_3,return_rolling_7,volatility_7
2021-12-26,50809.515625,0.752840191714288,0,0.1475970742546699,0.7419844445857134,0.1104184803976254,-0.0371785938570445,11,-0.0492596807067885,-0.047873940008382,0.0164069861173629,-0.04477073819073837,-0.05579156113278273,2.4849066497880004,-0.7719775485643066,0.0741490435773206,4.433669194360079,0.018337228909100094,1.2309140403652183,2.235833468549866
2021-12-27,50640.41796875,-0.3328070621613999,0,0.1140573640624361,0.779296324618401,0.1066463222546923,-0.0074110418077438,31,-0.0371785938570445,-0.0492596807067885,-0.047873940008382,-0.031283105457192296,-0.03475256453705895,3.4657359027997265,0.752840191714288,-0.7719775485643066,0.0741490435773206,-0.11731480633714007,1.1303766919371439,2.2959619098579713
2021-12-28,47588.85546875,-6.025942562091624,0,0.1180669010058045,0.7778527438640594,0.104080364331603,-0.0139865366742014,25,-0.0074110418077438,-0.0371785938570445,-0.0492596807067885,-0.01952539077966326,-0.028145918170419792,3.258096538021482,-0.3328070621613999,0.752840191714288,-0.7719775485643066,-1.8686364775129123,-0.35709455541898255,3.0754987258180044
2021-12-29,46444.7109375,-2.404227880624954,1,0.1474426008644513,0.756409992929548,0.0961474244832061,-0.0512951763812452,32,-0.0139865366742014,-0.0074110418077438,-0.0371785938570445,-0.024230918287730163,-0.027228283331148923,3.4965075614664802,-6.025942562091624,-0.3328070621613999,0.752840191714288,-2.9209925016259928,-0.6106138033986579,3.1732934989100268
2021-12-30,47178.125,1.579112126431248,0,0.1187947687037565,0.8106988618771235,0.0705063723855548,-0.0482883963182016,27,-0.0512951763812452,-0.0139865366742014,-0.0074110418077438,-0.037856703124549425,-0.03647048082194385,3.332204510175204,-2.404227880624954,-6.025942562091624,-0.3328070621613999,-2.2836861054284436,-1.0184076702456337,2.536558942175185
2021-12-31,46306.4453125,-1.8476352917798256,1,0.1066967684847231,0.769042579887005,0.1242606645593276,0.0175638960746045,26,-0.0482883963182016,-0.0512951763812452,-0.0139865366742014,-0.027339892208280796,-0.027122218524374353,3.295836866004329,1.579112126431248,-2.404227880624954,-6.025942562091624,-0.8909170153245108,-1.2929482895823692,2.502369477665399
2022-01-01,47686.8125,2.9809396471367267,0,0.1040800944591562,0.7380244304736455,0.1578954712798198,0.0538153768206636,15,0.0175638960746045,-0.0482883963182016,-0.0512951763812452,0.0076969588590221375,-0.012397210306166914,2.772588722239781,-1.8476352917798256,1.579112126431248,-2.404227880624954,0.9041388272627161,-0.7568172616250786,2.987579015556875
2022-01-02,47345.21875,-0.7163274962024402,0,0.0809583034562437,0.780015766620636,0.1390259464908587,0.058067643034615,19,0.0538153768206636,0.0175638960746045,-0.0482883963182016,0.043148971976627676,0.0012093949640701606,2.995732273553991,2.9809396471367267,-1.8476352917798256,1.579112126431248,0.13899228638482,-0.9666983598988969,2.9145609592746333
2022-01-03,46458.1171875,-1.87368774698079,0,0.1086167225516156,0.8093868813624507,0.0819964052030914,-0.0266203173485241,38,0.058067643034615,0.0538153768206636,0.0175638960746045,0.028420900835584805,-0.001534787256041311,3.6635616461296463,-0.7163274962024402,2.9809396471367267,-1.8476352917798256,0.1303081346511652,-1.1868241720159527,2.916893823652647
2022-01-04,45897.57421875,-1.2065555013512697,0,0.186504284851253,0.7482148567214608,0.0652808747719973,-0.1212234100792557,40,-0.0266203173485241,0.058067643034615,0.0538153768206636,-0.029925361464388293,-0.016854340599620498,3.713572066704308,-1.87368774698079,-0.7163274962024402,2.9809396471367267,-1.2655235815115002,-0.4983403061959019,2.0130768228636513
2022-01-05,43569.00390625,-5.073406061509756,0,0.1265872258349861,0.750232848093698,0.1231799355070842,-0.0034072903279019,38,-0.1212234100792557,-0.0266203173485241,0.058067643034615,-0.050417005918560596,-0.010013214020571454,3.6635616461296463,-1.2065555013512697,-1.87368774698079,-0.7163274962024402,-2.7178831032806055,-0.8796514748937307,2.6011504357358053
2022-01-06,43160.9296875,-0.9366159015892994,0,0.1569942366331815,0.750114267733362,0.0928915088996291,-0.0641027277335524,45,-0.0034072903279019,-0.1212234100792557,-0.0266203173485241,-0.06291114271357003,-0.012272404222764424,3.828641396489095,-5.073406061509756,-1.2065555013512697,-1.87368774698079,-2.4055258214834416,-1.2390411931823804,2.3681744462559635
2022-01-07,41557.90234375,-3.714070469186992,1,0.1569921903985928,0.7668102379650512,0.0761975798201053,-0.0807946105784875,47,-0.0641027277335524,-0.0034072903279019,-0.1212234100792557,-0.04943487621331396,-0.026323619458920422,3.871201010907891,-0.9366159015892994,-5.073406061509756,-1.2065555013512697,-3.2413641440953493,-1.5056747899548328,2.5464756711690772
2022-01-08,41733.94140625,0.4235994902819673,1,0.0790833165403455,0.8237206749618053,0.0971960005350411,0.0181126839946955,20,-0.0807946105784875,-0.0641027277335524,-0.0034072903279019,-0.042261551439114815,-0.03142400414834444,3.044522437723423,-3.714070469186992,-0.9366159015892994,-5.073406061509756,-1.4090289601647747,-1.8710090980769412,1.8958435285101727
2022-01-09,41911.6015625,0.4256970472081844,0,0.1517983897710624,0.7743428129216899,0.0738588041909363,-0.0779395855801261,23,0.0181126839946955,-0.0807946105784875,-0.0641027277335524,-0.04687383738797273,-0.05085360823616459,3.1780538303479458,0.4235994902819673,-3.714070469186992,-0.9366159015892994,-0.9549246438989467,-1.7078627347325663,2.0542877302745324
2022-01-10,41821.26171875,-0.215548536400556,1,0.1119537149306114,0.7780815677308455,0.1099647168615242,-0.0019889980690871,41,-0.0779395855801261,0.0181126839946955,-0.0807946105784875,-0.020605299884839265,-0.04733484833910217,3.7376696182833684,0.4256970472081844,0.4235994902819673,-3.714070469186992,0.2112493336965319,-1.4709857046496757,2.126315949897416
2022-01-11,42735.85546875,2.1869109453241498,1,0.1397776965712828,0.7882086304166624,0.0720136749347852,-0.0677640216364975,31,-0.0019889980690871,-0.0779395855801261,0.0181126839946955,-0.04923086842857027,-0.03969779284727957,3.4657359027997265,-0.215548536400556,0.4256970472081844,0.4235994902819673,0.7990198187105927,-0.9862047836960445,2.542718816967304
