Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts
2021-12-09,47672.12109375,-5.608726213196958,0,0.0404,0.8624,0.095,0.0763,891
2021-12-10,47243.3046875,-0.899511908452133,1,0.0362,0.8704,0.0935,0.0682,958
2021-12-11,49362.5078125,4.4857216044006165,1,0.0378,0.8677,0.0927,0.079,550
2021-12-12,50098.3359375,1.4906619570362878,0,0.0383,0.8838,0.0779,0.0427,462
2021-12-13,46737.48046875,-6.70851717099511,0,0.0533,0.8643,0.0781,0.0324,698
2021-12-14,46612.6328125,-0.267125345649466,1,0.063,0.8553,0.0817,0.0377,840
2021-12-15,48896.72265625,4.900151967252708,0,0.0515,0.8595,0.0869,0.0502,927
2021-12-16,47665.42578125,-2.518158289781846,0,0.0424,0.8626,0.0903,0.0693,853
2021-12-17,46202.14453125,-3.0699007215741814,1,0.0512,0.8478,0.0981,0.0585,697
2021-12-18,46848.77734375,1.3995731563123393,0,0.033,0.8613,0.101,0.0943,632
2021-12-19,46707.015625,-0.3025942762813871,1,0.032,0.874,0.0913,0.0806,376
2021-12-20,46880.27734375,0.3709543768351198,1,0.0401,0.883,0.0739,0.0421,681
2021-12-21,48936.61328125,4.386356169401262,0,0.0466,0.8716,0.0818,0.0802,636
2021-12-22,48628.51171875,-0.6295931447672265,1,0.0423,0.8647,0.0899,0.0625,630
2021-12-23,50784.5390625,4.433669194360079,1,0.0549,0.8498,0.0925,0.0658,700
2021-12-24,50822.1953125,0.0741490435773206,0,0.0535,0.8311,0.1154,0.0988,402
2021-12-25,50429.859375,-0.7719775485643066,1,0.0344,0.8517,0.114,0.1182,297
2021-12-26,50809.515625,0.752840191714288,0,0.0453,0.851,0.1007,0.0726,335
2021-12-27,50640.41796875,-0.3328070621613999,0,0.0333,0.8554,0.1028,0.0892,592
2021-12-28,47588.85546875,-6.025942562091624,0,0.0457,0.8741,0.0785,0.0556,601
2021-12-29,46444.7109375,-2.404227880624954,1,0.0364,0.8885,0.0736,0.0627,732
2021-12-30,47178.125,1.579112126431248,0,0.0405,0.8635,0.0945,0.079,708
2021-12-31,46306.4453125,-1.8476352917798256,1,0.0442,0.866,0.0898,0.0707,664
2022-01-01,47686.8125,2.9809396471367267,0,0.0388,0.8681,0.0931,0.0849,453
2022-01-02,47345.21875,-0.7163274962024402,0,0.0439,0.8787,0.0711,0.0532,472
2022-01-03,46458.1171875,-1.87368774698079,0,0.0356,0.8577,0.1066,0.0983,764
2022-01-04,45897.57421875,-1.2065555013512697,0,0.0353,0.8699,0.0948,0.0907,816
2022-01-05,43569.00390625,-5.073406061509756,0,0.0395,0.8724,0.086,0.0713,928
2022-01-06,43160.9296875,-0.9366159015892994,0,0.0431,0.8751,0.08,0.0578,1057
2022-01-07,41557.90234375,-3.714070469186992,1,0.0372,0.8782,0.0837,0.0618,1160
2022-01-08,41733.94140625,0.4235994902819673,1,0.0481,0.863,0.085,0.0531,516
2022-01-09,41911.6015625,0.4256970472081844,0,0.0502,0.8575,0.0886,0.0619,531
2022-01-10,41821.26171875,-0.215548536400556,1,0.051,0.8633,0.0857,0.0572,814
2022-01-11,42735.85546875,2.1869109453241498,1,0.0494,0.87,0.0793,0.0558,805
2022-01-12,43949.1015625,2.8389418684672707,0,0.0449,0.8547,0.0958,0.0684,874
2022-01-13,42591.5703125,-3.0888714484173407,1,0.0484,0.8593,0.0874,0.0444,805
2022-01-14,43099.69921875,1.1930269358978671,1,0.0499,0.8656,0.0823,0.0456,883
2022-01-15,43177.3984375,0.1802778677309158,0,0.0416,0.8553,0.1007,0.075,427
2022-01-16,43113.87890625,-0.1471129191397358,0,0.0378,0.8874,0.0748,0.0604,364
2022-01-17,42250.55078125,-2.0024366790964976,1,0.0371,0.8722,0.0887,0.0692,494
2022-01-18,42375.6328125,0.2960482856131374,0,0.048,0.868,0.083,0.0493,937
2022-01-19,41744.328125,-1.489782324415878,0,0.051,0.8713,0.0765,0.0436,883
2022-01-20,40680.41796875,-2.548634039729203,0,0.051,0.8681,0.0809,0.0467,918
2022-01-21,36457.31640625,-10.381165615712485,0,0.0592,0.8638,0.0729,0.0252,1205
2022-01-22,35030.25,-3.914348468076912,1,0.0497,0.8534,0.0941,0.0534,716
2022-01-23,36276.8046875,3.558509252717301,1,0.0618,0.8536,0.0811,0.025,569
2022-01-24,36654.328125,1.0406744495611076,1,0.0544,0.8667,0.0758,0.0316,1248
2022-01-25,36954.00390625,0.8175727030871549,0,0.056,0.8495,0.0917,0.0484,1076
2022-01-26,36852.12109375,-0.2757016878562668,1,0.0548,0.8635,0.0808,0.0305,1096
2022-01-27,37138.234375,0.7763821260712289,1,0.0548,0.864,0.0794,0.0385,1098
2022-01-28,37784.33203125,1.7397102127314046,1,0.0536,0.8637,0.0827,0.0403,1048
2022-01-29,38138.1796875,0.936493083845824,0,0.0385,0.8758,0.0837,0.0587,485
2022-01-30,37917.6015625,-0.5783656346668664,1,0.0588,0.8622,0.0766,0.0168,408
2022-01-31,38483.125,1.491453610450133,1,0.037,0.8721,0.0858,0.0723,399
2022-02-01,38743.2734375,0.676006528835682,0,0.0364,0.8886,0.0749,0.0508,399
2022-02-02,36952.984375,-4.620902943031036,1,0.0433,0.8671,0.0896,0.0551,477
2022-02-03,37154.6015625,0.5456046132945147,1,0.0461,0.8787,0.0752,0.0363,673
2022-02-04,41500.875,11.6978066100073,0,0.0558,0.8444,0.0969,0.0526,687
2022-02-05,41441.1640625,-0.1438787435204647,1,0.0438,0.8676,0.0886,0.0728,561
2022-02-06,42412.43359375,2.3437312952531157,1,0.0298,0.8749,0.0953,0.0884,247
2022-02-07,43840.28515625,3.3665872045371525,1,0.0397,0.8699,0.0905,0.0566,398
2022-02-08,44118.4453125,0.6344852805099555,1,0.0449,0.8678,0.0859,0.0638,676
2022-02-09,44338.796875,0.4994545046617338,0,0.0497,0.8575,0.0901,0.0642,742
2022-02-10,43565.11328125,-1.7449359213132731,0,0.0479,0.8769,0.0738,0.0388,721
2022-02-11,42407.9375,-2.656198260703335,0,0.0528,0.8678,0.078,0.0432,725
2022-02-12,42244.46875,-0.3854673432302613,0,0.0559,0.8629,0.0812,0.0435,512
2022-02-13,42197.515625,-0.1111462077505676,1,0.0357,0.8915,0.0728,0.0581,463
2022-02-14,42586.91796875,0.9228086961576842,1,0.0606,0.8556,0.0815,0.031,442
2022-02-15,44575.203125,4.668769779745485,0,0.0608,0.8784,0.0608,0.0007,591
2022-02-16,43961.859375,-1.37597522164965,0,0.045,0.8688,0.0863,0.0483,664
2022-02-17,40538.01171875,-7.788223029977336,0,0.0553,0.8687,0.076,0.0324,734
2022-02-18,40030.9765625,-1.2507647384577658,1,0.0441,0.8639,0.0877,0.0545,701
2022-02-19,40122.15625,0.2277728282687352,0,0.0629,0.8683,0.0666,0.0124,456
2022-02-20,38431.37890625,-4.214073972532317,0,0.0533,0.8599,0.0843,0.0459,396
2022-02-21,37075.28125,-3.5286208687907883,1,0.0534,0.8864,0.0602,0.0008,444
2022-02-22,38286.02734375,3.2656423712227323,0,0.0556,0.8557,0.0887,0.0452,596
2022-02-23,37296.5703125,-2.584381561362292,1,0.0588,0.853,0.0851,0.0245,646
