Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7
2021-12-09,47672.12109375,-5.608726213196958,0,0.0404,0.8624,0.095,0.0763,891,-0.385184874717448,0.2322159783127109,2.458589579002135,0.0469,0.0775,0.0482,0.06690000000000002,0.05532857142857143,6.79346613258001,-1.9205650365338987,-2.32351134324901,3.9442430715810133
2021-12-10,47243.3046875,-0.899511908452133,1,0.0362,0.8704,0.0935,0.0682,958,-5.608726213196958,-0.385184874717448,0.2322159783127109,0.0763,0.0469,0.0775,0.06380000000000001,0.05585714285714286,6.8658910748834385,-2.2978076654555135,-1.723643547057694,3.7671864656461023
2021-12-11,49362.5078125,4.4857216044006165,1,0.0378,0.8677,0.0927,0.079,550,-0.899511908452133,-5.608726213196958,-0.385184874717448,0.0682,0.0763,0.0469,0.07450000000000001,0.060885714285714286,6.311734809152915,-0.6741721724161588,0.08926520837858806,3.1277414848017
2021-12-12,50098.3359375,1.4906619570362878,0,0.0383,0.8838,0.0779,0.0427,462,4.4857216044006165,-0.899511908452133,-5.608726213196958,0.079,0.0682,0.0763,0.06330000000000001,0.06268571428571428,6.137727054086234,1.692290550994923,0.25339516034074333,3.1730162675724185
2021-12-13,46737.48046875,-6.70851717099511,0,0.0533,0.8643,0.0781,0.0324,698,1.4906619570362878,4.4857216044006165,-0.899511908452133,0.0427,0.079,0.0682,0.05136666666666668,0.060428571428571436,6.54965074223381,-0.24404453651940253,-1.0561915182302917,3.9159590866510827
2021-12-14,46612.6328125,-0.267125345649466,1,0.063,0.8553,0.0817,0.0377,840,-6.70851717099511,1.4906619570362878,4.4857216044006165,0.0324,0.0427,0.079,0.037600000000000015,0.05474285714285714,6.734591659972948,-1.8283268532027634,-1.1275259930820312,3.893058452904726
2021-12-15,48896.72265625,4.900151967252708,0,0.0515,0.8595,0.0869,0.0502,927,-0.267125345649466,-6.70851717099511,1.4906619570362878,0.0377,0.0324,0.0427,0.04010000000000002,0.055214285714285716,6.833031732786201,-0.691830183130623,-0.3724778728005805,4.522657263090364
2021-12-16,47665.42578125,-2.518158289781846,0,0.0424,0.8626,0.0903,0.0693,853,4.900151967252708,-0.267125345649466,-6.70851717099511,0.0502,0.0377,0.0324,0.05240000000000002,0.05421428571428572,6.74993119378857,0.7049561106071316,0.06903183054443549,4.052729622505113
2021-12-17,46202.14453125,-3.0699007215741814,1,0.0512,0.8478,0.0981,0.0585,697,-2.518158289781846,4.900151967252708,-0.267125345649466,0.0693,0.0502,0.0377,0.05933333333333335,0.05282857142857143,6.548219102762372,-0.2293023480344402,-0.24102371418728571,4.218798878540566
2021-12-18,46848.77734375,1.3995731563123393,0,0.033,0.8613,0.101,0.0943,632,-3.0699007215741814,-2.518158289781846,4.900151967252708,0.0585,0.0693,0.0502,0.07403333333333335,0.05501428571428572,6.450470422144176,-1.3961619516812298,-0.6819020639141825,3.7810581547001267
2021-12-19,46707.015625,-0.3025942762813871,1,0.032,0.874,0.0913,0.0806,376,1.3995731563123393,-3.0699007215741814,-2.518158289781846,0.0943,0.0585,0.0693,0.07780000000000002,0.060428571428571436,5.932245187448011,-0.6576406138477436,-0.9380815258167076,3.6683976786210013
2021-12-20,46880.27734375,0.3709543768351198,1,0.0401,0.883,0.0739,0.0421,681,-0.3025942762813871,1.3995731563123393,-3.0699007215741814,0.0806,0.0943,0.0585,0.07233333333333335,0.06181428571428572,6.525029657843462,0.48931108562202336,0.0732715524447539,2.645708830288371
